# TB-108 Block A - je Eintrag der Stoffsammlung: Quelle (Zeilen), Art, Zieltext gefunden, Stand gemessen, Registerort, Markenort
# Quellen: docs/projektfuehrung/FABLE_ANTWORT_2026-09-<q>_*.md (q = 24b, 24c, 24d, 25a, 25b, 25c), Zeilennummern am Stand 4a84086.
# "Z" = ganze Zeile als Blockzitat, "T" = Teilzitat; jedes Zitat mit diff rc 0 in d2_zitate.txt.
# Stand-Messung: a3_stand.txt (Nummern in Klammern), c_hashuebergaenge.txt, Ergebnisdokumente TB-97, TB-103 bis TB-107.

Eintrag | Quelle, Zeilen          | Art                         | Text gefunden               | Stand gemessen (Abweichung zur Stoffsammlung: !)                        | Register  | Marke
A1      | 24b Z57, T61            | Berichtigung                | ja                          | Test 196 Pruefungen (19), H1-H7 im Test                                 | 41.1      | 12
A2      | 24b Z59                 | Berichtigung                | ja                          | Gegenproben TB-97                                                       | 41.1      | 40.7
A3      | 24b Z91                 | Berichtigung                | ja                          | -                                                                       | 41.1      | 40.6
A4      | 24b Z67, T69            | Registertext                | ja                          | ! H6 bis heute nicht eigenstaendig (TB-97, Test Z.861/965, ae8db0b)     | 41.1      | 12, 40.7
A5      | 24b Z99, T101           | Registertext                | ja                          | -                                                                       | 41.1      | 12
A6      | 24b Z75                 | Marke                       | ja                          | ein Parser beispieldaten.jahre_aus_register_5_1_nr_4, zwei Leser        | 41.1      | 5.1 Nr. 4
A7      | 24b Z107                | Tatsachennotiz              | ! ja, in 24b C4 (Stoffsammlung: nur Stichwort D5) | -                                             | 41.1      | 12
A8      | 24b Z39                 | Tatsachennotiz              | ja                          | Kopf bot_lauf.py Z.32-37 unveraendert (16)                              | 41.1      | -
A9      | 24b T39                 | Registertext                | ja                          | -                                                                       | 41.1      | -
A10     | 24b Z19, Z21            | Registertext                | ja                          | umgesetzt; ! letzter Satz (Ladeprotokoll) nicht: ladeprotokoll.py seit 55b991d (7) | 41.1 | 19
A11     | 24b Z27                 | Registertext                | ja                          | Trockenlaeufe TB-103/105/106/107                                        | 41.1      | -
A12     | 24b Z35, Z37            | Registertext (Praez. 40.6)  | ja                          | Erzeuger nicht gebaut                                                   | 41.1      | 40.6
(Liste) | 24b Z119                | Fables Liste                | ja                          |                                                                         | 41.1      |
B4      | 24c Z15, T17            | Registertext                | ja                          | Benchmark-Nachweis 2                                                    | 41.2      | 39.6
B8      | 24c Z19                 | Tatsachennotiz              | ja                          | -                                                                       | 41.2      | -
